"xx" "zz" "event" "study" "t46" "t51" "t56" "t61" "t66"
"xx36" "zz1" "hdage_nobase" "cohort" 216 159 105 61 27
"xx36" "zz1" "hdage_nobase" "predict" 441 276 153 80 34
"xx36" "zz1" "hdage_nobase" "pharos" 226 146 75 24 4
"xx36" "zz1" "mcione" "cohort" 217 157 105 59 27
"xx36" "zz1" "mcione" "predict" 440 275 156 77 32
"xx36" "zz1" "mcione" "pharos" 222 146 78 29 5
"xx36" "zz1" "tfctwo" "cohort" 215 156 106 62 27
"xx36" "zz1" "tfctwo" "predict" 432 272 150 77 32
"xx36" "zz1" "tfctwo" "pharos" 223 144 69 33 6
"xx36" "zz-study" "hdage_nobase" "cohort" 216 159 105 61 27
"xx36" "zz-study" "hdage_nobase" "predict" 441 276 153 80 34
"xx36" "zz-study" "hdage_nobase" "pharos" 226 146 75 24 4
"xx36" "zz-study" "mcione" "cohort" 217 157 105 59 27
"xx36" "zz-study" "mcione" "predict" 440 275 156 77 32
"xx36" "zz-study" "mcione" "pharos" 222 146 78 29 5
"xx36" "zz-study" "tfctwo" "cohort" 215 156 106 62 27
"xx36" "zz-study" "tfctwo" "predict" 432 272 150 77 32
"xx36" "zz-study" "tfctwo" "pharos" 223 144 69 33 6
"xx36" "zz-CAG" "hdage_nobase" "cohort" 13 11 7 3 2
"xx36" "zz-CAG" "hdage_nobase" "predict" 0 0 0 0 0
"xx36" "zz-CAG" "hdage_nobase" "pharos" 13 11 6 1 0
"xx36" "zz-CAG" "mcione" "cohort" 15 11 8 3 1
"xx36" "zz-CAG" "mcione" "predict" 0 0 0 0 0
"xx36" "zz-CAG" "mcione" "pharos" 15 10 6 1 1
"xx36" "zz-CAG" "tfctwo" "cohort" 14 11 7 3 1
"xx36" "zz-CAG" "tfctwo" "predict" 0 0 0 0 0
"xx36" "zz-CAG" "tfctwo" "pharos" 15 11 5 2 0
"xx37.4" "zz1" "hdage_nobase" "cohort" 216 159 105 61 27
"xx37.4" "zz1" "hdage_nobase" "predict" 441 276 153 80 34
"xx37.4" "zz1" "hdage_nobase" "pharos" 226 146 75 24 4
"xx37.4" "zz1" "mcione" "cohort" 217 157 105 59 27
"xx37.4" "zz1" "mcione" "predict" 440 275 156 77 32
"xx37.4" "zz1" "mcione" "pharos" 222 146 78 29 5
"xx37.4" "zz1" "tfctwo" "cohort" 215 156 106 62 27
"xx37.4" "zz1" "tfctwo" "predict" 432 272 150 77 32
"xx37.4" "zz1" "tfctwo" "pharos" 223 144 69 33 6
"xx37.4" "zz-study" "hdage_nobase" "cohort" 216 159 105 61 27
"xx37.4" "zz-study" "hdage_nobase" "predict" 441 276 153 80 34
"xx37.4" "zz-study" "hdage_nobase" "pharos" 226 146 75 24 4
"xx37.4" "zz-study" "mcione" "cohort" 217 157 105 59 27
"xx37.4" "zz-study" "mcione" "predict" 440 275 156 77 32
"xx37.4" "zz-study" "mcione" "pharos" 222 146 78 29 5
"xx37.4" "zz-study" "tfctwo" "cohort" 215 156 106 62 27
"xx37.4" "zz-study" "tfctwo" "predict" 432 272 150 77 32
"xx37.4" "zz-study" "tfctwo" "pharos" 223 144 69 33 6
"xx37.4" "zz-CAG" "hdage_nobase" "cohort" 14 10 9 6 4
"xx37.4" "zz-CAG" "hdage_nobase" "predict" 21 15 9 3 1
"xx37.4" "zz-CAG" "hdage_nobase" "pharos" 15 9 3 1 0
"xx37.4" "zz-CAG" "mcione" "cohort" 14 10 9 7 3
"xx37.4" "zz-CAG" "mcione" "predict" 23 15 11 3 1
"xx37.4" "zz-CAG" "mcione" "pharos" 15 9 5 1 0
"xx37.4" "zz-CAG" "tfctwo" "cohort" 14 10 9 7 3
"xx37.4" "zz-CAG" "tfctwo" "predict" 21 15 7 3 1
"xx37.4" "zz-CAG" "tfctwo" "pharos" 14 10 5 2 0
"xx38.8" "zz1" "hdage_nobase" "cohort" 216 159 105 61 27
"xx38.8" "zz1" "hdage_nobase" "predict" 441 276 153 80 34
"xx38.8" "zz1" "hdage_nobase" "pharos" 226 146 75 24 4
"xx38.8" "zz1" "mcione" "cohort" 217 157 105 59 27
"xx38.8" "zz1" "mcione" "predict" 440 275 156 77 32
"xx38.8" "zz1" "mcione" "pharos" 222 146 78 29 5
"xx38.8" "zz1" "tfctwo" "cohort" 215 156 106 62 27
"xx38.8" "zz1" "tfctwo" "predict" 432 272 150 77 32
"xx38.8" "zz1" "tfctwo" "pharos" 223 144 69 33 6
