"xx" "zz" "event" "study" "t46" "t51" "t56" "t61" "t66"
"xx36" "zz1" "hdage_nobase" "cohort" 235 181 122 77 42
"xx36" "zz1" "hdage_nobase" "predict" 497 331 194 111 43
"xx36" "zz1" "hdage_nobase" "pharos" 253 170 101 40 11
"xx36" "zz1" "mcione" "cohort" 236 184 125 81 42
"xx36" "zz1" "mcione" "predict" 494 333 195 111 42
"xx36" "zz1" "mcione" "pharos" 248 170 99 47 13
"xx36" "zz1" "tfctwo" "cohort" 232 176 120 79 40
"xx36" "zz1" "tfctwo" "predict" 493 327 194 113 45
"xx36" "zz1" "tfctwo" "pharos" 245 172 94 44 14
"xx36" "zz-study" "hdage_nobase" "cohort" 235 181 122 77 42
"xx36" "zz-study" "hdage_nobase" "predict" 497 331 194 111 43
"xx36" "zz-study" "hdage_nobase" "pharos" 253 170 101 40 11
"xx36" "zz-study" "mcione" "cohort" 236 184 125 81 42
"xx36" "zz-study" "mcione" "predict" 494 333 195 111 42
"xx36" "zz-study" "mcione" "pharos" 248 170 99 47 13
"xx36" "zz-study" "tfctwo" "cohort" 232 176 120 79 40
"xx36" "zz-study" "tfctwo" "predict" 493 327 194 113 45
"xx36" "zz-study" "tfctwo" "pharos" 245 172 94 44 14
"xx36" "zz-CAG" "hdage_nobase" "cohort" 21 16 11 6 4
"xx36" "zz-CAG" "hdage_nobase" "predict" 0 0 0 0 0
"xx36" "zz-CAG" "hdage_nobase" "pharos" 26 18 13 5 2
"xx36" "zz-CAG" "mcione" "cohort" 21 16 14 6 3
"xx36" "zz-CAG" "mcione" "predict" 0 0 0 0 0
"xx36" "zz-CAG" "mcione" "pharos" 25 20 12 5 3
"xx36" "zz-CAG" "tfctwo" "cohort" 21 15 13 6 3
"xx36" "zz-CAG" "tfctwo" "predict" 0 0 0 0 0
"xx36" "zz-CAG" "tfctwo" "pharos" 26 19 11 7 2
"xx37.4" "zz1" "hdage_nobase" "cohort" 235 181 122 77 42
"xx37.4" "zz1" "hdage_nobase" "predict" 497 331 194 111 43
"xx37.4" "zz1" "hdage_nobase" "pharos" 253 170 101 40 11
"xx37.4" "zz1" "mcione" "cohort" 236 184 125 81 42
"xx37.4" "zz1" "mcione" "predict" 494 333 195 111 42
"xx37.4" "zz1" "mcione" "pharos" 248 170 99 47 13
"xx37.4" "zz1" "tfctwo" "cohort" 232 176 120 79 40
"xx37.4" "zz1" "tfctwo" "predict" 493 327 194 113 45
"xx37.4" "zz1" "tfctwo" "pharos" 245 172 94 44 14
"xx37.4" "zz-study" "hdage_nobase" "cohort" 235 181 122 77 42
"xx37.4" "zz-study" "hdage_nobase" "predict" 497 331 194 111 43
"xx37.4" "zz-study" "hdage_nobase" "pharos" 253 170 101 40 11
"xx37.4" "zz-study" "mcione" "cohort" 236 184 125 81 42
"xx37.4" "zz-study" "mcione" "predict" 494 333 195 111 42
"xx37.4" "zz-study" "mcione" "pharos" 248 170 99 47 13
"xx37.4" "zz-study" "tfctwo" "cohort" 232 176 120 79 40
"xx37.4" "zz-study" "tfctwo" "predict" 493 327 194 113 45
"xx37.4" "zz-study" "tfctwo" "pharos" 245 172 94 44 14
"xx37.4" "zz-CAG" "hdage_nobase" "cohort" 18 11 7 4 3
"xx37.4" "zz-CAG" "hdage_nobase" "predict" 25 18 12 6 2
"xx37.4" "zz-CAG" "hdage_nobase" "pharos" 11 6 1 1 1
"xx37.4" "zz-CAG" "mcione" "cohort" 18 12 7 3 3
"xx37.4" "zz-CAG" "mcione" "predict" 27 17 13 5 2
"xx37.4" "zz-CAG" "mcione" "pharos" 9 5 1 1 1
"xx37.4" "zz-CAG" "tfctwo" "cohort" 17 12 7 3 3
"xx37.4" "zz-CAG" "tfctwo" "predict" 25 17 13 6 2
"xx37.4" "zz-CAG" "tfctwo" "pharos" 11 5 1 1 1
"xx38.8" "zz1" "hdage_nobase" "cohort" 235 181 122 77 42
"xx38.8" "zz1" "hdage_nobase" "predict" 497 331 194 111 43
"xx38.8" "zz1" "hdage_nobase" "pharos" 253 170 101 40 11
"xx38.8" "zz1" "mcione" "cohort" 236 184 125 81 42
"xx38.8" "zz1" "mcione" "predict" 494 333 195 111 42
"xx38.8" "zz1" "mcione" "pharos" 248 170 99 47 13
"xx38.8" "zz1" "tfctwo" "cohort" 232 176 120 79 40
"xx38.8" "zz1" "tfctwo" "predict" 493 327 194 113 45
"xx38.8" "zz1" "tfctwo" "pharos" 245 172 94 44 14
"xx38.8" "zz-study" "hdage_nobase" "cohort" 235 181 122 77 42
"xx38.8" "zz-study" "hdage_nobase" "predict" 497 331 194 111 43
"xx38.8" "zz-study" "hdage_nobase" "pharos" 253 170 101 40 11
"xx38.8" "zz-study" "mcione" "cohort" 236 184 125 81 42
"xx38.8" "zz-study" "mcione" "predict" 494 333 195 111 42
"xx38.8" "zz-study" "mcione" "pharos" 248 170 99 47 13
"xx38.8" "zz-study" "tfctwo" "cohort" 232 176 120 79 40
"xx38.8" "zz-study" "tfctwo" "predict" 493 327 194 113 45
"xx38.8" "zz-study" "tfctwo" "pharos" 245 172 94 44 14
"xx38.8" "zz-CAG" "hdage_nobase" "cohort" 17 9 7 3 1
"xx38.8" "zz-CAG" "hdage_nobase" "predict" 33 23 11 6 3
"xx38.8" "zz-CAG" "hdage_nobase" "pharos" 20 15 9 6 1
"xx38.8" "zz-CAG" "mcione" "cohort" 17 10 7 3 1
"xx38.8" "zz-CAG" "mcione" "predict" 33 26 12 5 3
"xx38.8" "zz-CAG" "mcione" "pharos" 18 13 10 6 1
"xx38.8" "zz-CAG" "tfctwo" "cohort" 16 8 7 3 1
"xx38.8" "zz-CAG" "tfctwo" "predict" 34 23 13 6 3
"xx38.8" "zz-CAG" "tfctwo" "pharos" 17 14 9 6 1
"xx40.2" "zz1" "hdage_nobase" "cohort" 235 181 122 77 42
"xx40.2" "zz1" "hdage_nobase" "predict" 497 331 194 111 43
"xx40.2" "zz1" "hdage_nobase" "pharos" 253 170 101 40 11
"xx40.2" "zz1" "mcione" "cohort" 236 184 125 81 42
"xx40.2" "zz1" "mcione" "predict" 494 333 195 111 42
"xx40.2" "zz1" "mcione" "pharos" 248 170 99 47 13
"xx40.2" "zz1" "tfctwo" "cohort" 232 176 120 79 40
"xx40.2" "zz1" "tfctwo" "predict" 493 327 194 113 45
"xx40.2" "zz1" "tfctwo" "pharos" 245 172 94 44 14
"xx40.2" "zz-study" "hdage_nobase" "cohort" 235 181 122 77 42
"xx40.2" "zz-study" "hdage_nobase" "predict" 497 331 194 111 43
"xx40.2" "zz-study" "hdage_nobase" "pharos" 253 170 101 40 11
"xx40.2" "zz-study" "mcione" "cohort" 236 184 125 81 42
